Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.24_11.51.40	-48.45396	-1.475810	Oi	4G	-95	0	-19	
2019.09.24_11.51.40	-48.45396	-1.475810	Oi	4G	-96	0	-19	
2019.09.24_11.51.41	-48.45395	-1.475811	Oi	4G	-96	1	-14	
2019.09.24_11.51.42	-48.45395	-1.475811	Oi	4G	-96	1	-14	
2019.09.24_11.51.43	-48.45395	-1.475811	Oi	4G	-98	1	-14	
2019.09.24_11.51.44	-48.45395	-1.475780	Oi	4G	-98	5	-21	
2019.09.24_11.51.44	-48.45395	-1.475780	Oi	4G	-98	5	-21	
2019.09.24_11.51.45	-48.45395	-1.475780	Oi	4G	-96	5	-21	
2019.09.24_11.51.46	-48.45394	-1.475755	Oi	4G	-96	4	-22	
2019.09.24_11.51.46	-48.45394	-1.475755	Oi	4G	-96	4	-22	
2019.09.24_11.51.48	-48.45394	-1.475755	Oi	4G	-95	4	-22	
2019.09.24_11.51.49	-48.45394	-1.475755	Oi	4G	-95	4	-22	
2019.09.24_11.51.49	-48.45394	-1.475716	Oi	4G	-95	4	-22	
2019.09.24_11.51.50	-48.45394	-1.475716	Oi	4G	-95	4	-22	
2019.09.24_11.51.51	-48.45394	-1.475716	Oi	4G	-95	4	-22	
2019.09.24_11.51.52	-48.45394	-1.475682	Oi	4G	-95	2	-18	
2019.09.24_11.51.52	-48.45394	-1.475682	Oi	4G	-94	2	-18	
2019.09.24_11.51.53	-48.45394	-1.475682	Oi	4G	-94	2	-18	
2019.09.24_11.51.55	-48.45394	-1.475682	Oi	4G	-97	2	-18	
2019.09.24_11.51.55	-48.45394	-1.475653	Oi	4G	-97	3	-20	
2019.09.24_11.51.56	-48.45394	-1.475653	Oi	4G	-97	3	-20	
2019.09.24_11.51.57	-48.45394	-1.475653	Oi	4G	-99	3	-20	
2019.09.24_11.51.58	-48.45395	-1.475615	Oi	4G	-99	5	-16	
2019.09.24_11.51.58	-48.45395	-1.475615	Oi	4G	-99	5	-16	
2019.09.24_11.51.59	-48.45395	-1.475615	Oi	4G	-101	5	-16	
2019.09.24_11.52.00	-48.45395	-1.475586	Oi	4G	-101	6	-20	
2019.09.24_11.52.01	-48.45395	-1.475586	Oi	4G	-101	6	-20	
2019.09.24_11.52.02	-48.45395	-1.475586	Oi	4G	-101	6	-20	
2019.09.24_11.52.02	-48.45395	-1.475556	Oi	4G	-101	6	-13	
2019.09.24_11.52.03	-48.45395	-1.475556	Oi	4G	-101	6	-13	
2019.09.24_11.52.04	-48.45397	-1.475522	Oi	4G	-101	4	-19	
2019.09.24_11.52.04	-48.45397	-1.475522	Oi	4G	-94	4	-19	
2019.09.24_11.52.05	-48.45397	-1.475522	Oi	4G	-94	4	-19	
2019.09.24_11.52.06	-48.45397	-1.475522	Oi	4G	-98	4	-19	
2019.09.24_11.52.07	-48.45401	-1.475509	Oi	4G	-98	7	-22	
2019.09.24_11.52.08	-48.45401	-1.475509	Oi	4G	-98	7	-22	
2019.09.24_11.52.09	-48.45401	-1.475509	Oi	4G	-101	7	-22	
2019.09.24_11.52.10	-48.45401	-1.475509	Oi	4G	-101	7	-22	
