Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.24_12.06.06	-48.45390	-1.475799	Oi	4G	-103	5	-18	
2019.09.24_12.06.07	-48.45390	-1.475799	Oi	4G	-102	5	-18	
2019.09.24_12.06.07	-48.45390	-1.475783	Oi	4G	-102	0	-21	
2019.09.24_12.06.08	-48.45390	-1.475783	Oi	4G	-102	0	-21	
2019.09.24_12.06.09	-48.45390	-1.475783	Oi	4G	-95	0	-21	
2019.09.24_12.06.10	-48.45390	-1.475783	Oi	4G	-95	0	-21	
2019.09.24_12.06.11	-48.45390	-1.475783	Oi	4G	-95	0	-21	
2019.09.24_12.06.12	-48.45390	-1.475783	Oi	4G	-95	0	-21	
2019.09.24_12.06.14	-48.45390	-1.475783	Oi	4G	-95	0	-21	
2019.09.24_12.06.14	-48.45391	-1.475749	Oi	4G	-95	4	-19	
2019.09.24_12.06.15	-48.45391	-1.475749	Oi	4G	-95	4	-19	
2019.09.24_12.06.16	-48.45391	-1.475749	Oi	4G	-89	4	-19	
2019.09.24_12.06.17	-48.45392	-1.475710	Oi	4G	-89	4	-17	
2019.09.24_12.06.17	-48.45392	-1.475710	Oi	4G	-89	4	-17	
2019.09.24_12.06.18	-48.45392	-1.475710	Oi	4G	-93	4	-17	
2019.09.24_12.06.20	-48.45392	-1.475710	Oi	4G	-93	4	-17	
2019.09.24_12.06.20	-48.45392	-1.475672	Oi	4G	-93	4	-19	
2019.09.24_12.06.21	-48.45392	-1.475672	Oi	4G	-90	4	-19	
2019.09.24_12.06.22	-48.45393	-1.475644	Oi	4G	-90	4	-14	
2019.09.24_12.06.22	-48.45393	-1.475644	Oi	4G	-90	4	-14	
2019.09.24_12.06.23	-48.45393	-1.475644	Oi	4G	-91	4	-14	
2019.09.24_12.06.24	-48.45394	-1.475614	Oi	4G	-91	4	-16	
2019.09.24_12.06.24	-48.45394	-1.475614	Oi	4G	-91	4	-16	
2019.09.24_12.06.25	-48.45394	-1.475614	Oi	4G	-96	4	-16	
2019.09.24_12.06.27	-48.45394	-1.475614	Oi	4G	-96	4	-16	
2019.09.24_12.06.27	-48.45396	-1.475579	Oi	4G	-96	4	-18	
2019.09.24_12.06.28	-48.45396	-1.475579	Oi	4G	-94	4	-18	
2019.09.24_12.06.29	-48.45396	-1.475579	Oi	4G	-94	4	-18	
2019.09.24_12.06.30	-48.45398	-1.475558	Oi	4G	-94	4	-16	
2019.09.24_12.06.30	-48.45398	-1.475558	Oi	4G	-92	4	-16	
2019.09.24_12.06.31	-48.45398	-1.475558	Oi	4G	-92	4	-16	
2019.09.24_12.06.32	-48.45401	-1.475545	Oi	4G	-92	4	-17	
2019.09.24_12.06.32	-48.45401	-1.475545	Oi	4G	-98	4	-17	
2019.09.24_12.06.33	-48.45401	-1.475545	Oi	4G	-98	4	-17	
2019.09.24_12.06.35	-48.45401	-1.475545	Oi	4G	-96	4	-17	
2019.09.24_12.06.35	-48.45404	-1.475531	Oi	4G	-96	3	-18	
2019.09.24_12.06.36	-48.45404	-1.475531	Oi	4G	-96	3	-18	
2019.09.24_12.06.37	-48.45404	-1.475531	Oi	4G	-96	3	-18	
2019.09.24_12.06.38	-48.45407	-1.475512	Oi	4G	-96	4	-13	
2019.09.24_12.06.38	-48.45407	-1.475512	Oi	4G	-96	4	-13	
2019.09.24_12.06.39	-48.45407	-1.475512	Oi	4G	-97	4	-13	
2019.09.24_12.06.41	-48.45407	-1.475512	Oi	4G	-97	4	-13	
2019.09.24_12.06.41	-48.45410	-1.475494	Oi	4G	-97	3	-18	
2019.09.24_12.06.42	-48.45410	-1.475494	Oi	4G	-95	3	-18	
2019.09.24_12.06.43	-48.45411	-1.475472	Oi	4G	-95	5	-19	
2019.09.24_12.06.43	-48.45411	-1.475472	Oi	4G	-95	5	-19	
2019.09.24_12.06.44	-48.45411	-1.475472	Oi	4G	-94	5	-19	
2019.09.24_12.06.45	-48.45412	-1.475438	Oi	4G	-94	6	-14	
2019.09.24_12.06.45	-48.45412	-1.475438	Oi	4G	-94	6	-14	
2019.09.24_12.06.46	-48.45412	-1.475438	Oi	4G	-98	6	-14	
2019.09.24_12.06.48	-48.45412	-1.475438	Oi	4G	-98	6	-14	
2019.09.24_12.06.48	-48.45411	-1.475406	Oi	4G	-98	1	-21	
2019.09.24_12.06.49	-48.45411	-1.475406	Oi	4G	-95	1	-21	
2019.09.24_12.06.50	-48.45411	-1.475406	Oi	4G	-95	1	-21	
2019.09.24_12.06.51	-48.45412	-1.475369	Oi	4G	-95	6	-21	
2019.09.24_12.06.51	-48.45412	-1.475369	Oi	4G	-98	6	-21	
2019.09.24_12.06.52	-48.45412	-1.475369	Oi	4G	-98	6	-21	
2019.09.24_12.06.53	-48.45413	-1.475334	Oi	4G	-98	5	-21	
2019.09.24_12.06.53	-48.45413	-1.475334	Oi	4G	-100	5	-21	
2019.09.24_12.06.55	-48.45413	-1.475334	Oi	4G	-100	5	-21	
2019.09.24_12.06.55	-48.45415	-1.475300	Oi	4G	-100	6	-17	
2019.09.24_12.06.56	-48.45415	-1.475300	Oi	4G	-97	6	-17	
2019.09.24_12.06.57	-48.45415	-1.475300	Oi	4G	-97	6	-17	
2019.09.24_12.06.57	-48.45417	-1.475268	Oi	4G	-97	7	-20	
2019.09.24_12.06.58	-48.45417	-1.475268	Oi	4G	-99	7	-20	
2019.09.24_12.06.59	-48.45419	-1.475239	Oi	4G	-99	5	-21	
2019.09.24_12.06.59	-48.45419	-1.475239	Oi	4G	-99	5	-21	
2019.09.24_12.07.00	-48.45419	-1.475239	Oi	4G	-98	5	-21	
2019.09.24_12.07.01	-48.45421	-1.475212	Oi	4G	-98	7	-16	
2019.09.24_12.07.01	-48.45421	-1.475212	Oi	4G	-98	7	-16	
2019.09.24_12.07.03	-48.45421	-1.475212	Oi	4G	-101	7	-16	
2019.09.24_12.07.03	-48.45422	-1.475177	Oi	4G	-101	6	-19	
