Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.25_11.34.49	-48.45393	-1.475795	Oi	3G	-97	2	-18	
2019.09.25_11.34.49	-48.45393	-1.475795	Oi	3G	-91	2	-18	
2019.09.25_11.34.50	-48.45393	-1.475806	Oi	3G	-91	0	-19	
2019.09.25_11.34.50	-48.45393	-1.475806	Oi	3G	-91	0	-19	
2019.09.25_11.34.52	-48.45393	-1.475806	Oi	3G	-87	0	-19	
2019.09.25_11.34.53	-48.45393	-1.475806	Oi	3G	-87	0	-19	
2019.09.25_11.34.54	-48.45393	-1.475806	Oi	3G	-87	0	-19	
2019.09.25_11.34.55	-48.45392	-1.475768	Oi	3G	-87	3	-20	
2019.09.25_11.34.55	-48.45392	-1.475768	Oi	3G	-87	3	-20	
2019.09.25_11.34.56	-48.45392	-1.475768	Oi	3G	-87	3	-20	
2019.09.25_11.34.57	-48.45392	-1.475768	Oi	3G	-87	3	-20	
2019.09.25_11.34.58	-48.45391	-1.475732	Oi	3G	-87	3	-21	
2019.09.25_11.34.58	-48.45391	-1.475732	Oi	3G	-85	3	-21	
2019.09.25_11.35.00	-48.45391	-1.475732	Oi	3G	-85	3	-21	
2019.09.25_11.35.01	-48.45390	-1.475700	Oi	3G	-85	3	-20	
2019.09.25_11.35.01	-48.45390	-1.475700	Oi	3G	-79	3	-20	
2019.09.25_11.35.02	-48.45390	-1.475700	Oi	3G	-79	3	-20	
2019.09.25_11.35.03	-48.45390	-1.475700	Oi	3G	-89	3	-20	
2019.09.25_11.35.04	-48.45390	-1.475700	Oi	3G	-89	3	-20	
2019.09.25_11.35.05	-48.45392	-1.475670	Oi	3G	-89	4	-16	
2019.09.25_11.35.05	-48.45392	-1.475670	Oi	3G	-89	4	-16	
2019.09.25_11.35.07	-48.45392	-1.475670	Oi	3G	-89	4	-16	
2019.09.25_11.35.08	-48.45392	-1.475635	Oi	3G	-89	3	-21	
2019.09.25_11.35.08	-48.45392	-1.475635	Oi	3G	-81	3	-21	
2019.09.25_11.35.09	-48.45392	-1.475635	Oi	3G	-81	3	-21	
2019.09.25_11.35.10	-48.45392	-1.475635	Oi	3G	-113	3	-21	
2019.09.25_11.35.11	-48.45394	-1.475606	Oi	3G	-113	3	-17	
2019.09.25_11.35.11	-48.45394	-1.475606	Oi	3G	-113	3	-17	
2019.09.25_11.35.12	-48.45394	-1.475606	Oi	3G	-113	3	-17	
2019.09.25_11.35.13	-48.45394	-1.475606	Oi	3G	-113	3	-17	
2019.09.25_11.35.14	-48.45395	-1.475580	Oi	3G	-113	3	-20	
2019.09.25_11.35.15	-48.45395	-1.475580	Oi	3G	-81	3	-20	
2019.09.25_11.35.16	-48.45395	-1.475580	Oi	3G	-81	3	-20	
2019.09.25_11.35.17	-48.45397	-1.475560	Oi	3G	-81	2	-15	
2019.09.25_11.35.17	-48.45397	-1.475560	Oi	3G	-91	2	-15	
2019.09.25_11.35.18	-48.45397	-1.475560	Oi	3G	-91	2	-15	
2019.09.25_11.35.19	-48.45397	-1.475560	Oi	3G	-77	2	-15	
2019.09.25_11.35.20	-48.45397	-1.475560	Oi	3G	-77	2	-15	
2019.09.25_11.35.22	-48.45397	-1.475560	Oi	3G	-113	2	-15	
2019.09.25_11.35.22	-48.45400	-1.475549	Oi	3G	-113	1	-22	
2019.09.25_11.35.23	-48.45400	-1.475549	Oi	3G	-113	1	-22	
2019.09.25_11.35.24	-48.45400	-1.475549	Oi	3G	-77	1	-22	
2019.09.25_11.35.25	-48.45403	-1.475531	Oi	3G	-77	4	-21	
2019.09.25_11.35.25	-48.45403	-1.475531	Oi	3G	-77	4	-21	
2019.09.25_11.35.26	-48.45403	-1.475531	Oi	3G	-77	4	-21	
2019.09.25_11.35.27	-48.45403	-1.475531	Oi	3G	-77	4	-21	
2019.09.25_11.35.28	-48.45406	-1.475508	Oi	3G	-77	4	-22	
2019.09.25_11.35.28	-48.45406	-1.475508	Oi	3G	-77	4	-22	
2019.09.25_11.35.30	-48.45406	-1.475508	Oi	3G	-77	4	-22	
2019.09.25_11.35.31	-48.45409	-1.475485	Oi	3G	-87	2	-22	
2019.09.25_11.35.31	-48.45409	-1.475485	Oi	3G	-87	2	-19	
2019.09.25_11.35.32	-48.45409	-1.475485	Oi	3G	-87	2	-19	
2019.09.25_11.35.33	-48.45409	-1.475485	Oi	3G	-83	2	-19	
2019.09.25_11.35.34	-48.45412	-1.475461	Oi	3G	-83	4	-23	
2019.09.25_11.35.34	-48.45412	-1.475461	Oi	3G	-83	4	-23	
2019.09.25_11.35.35	-48.45412	-1.475461	Oi	3G	-83	4	-23	
2019.09.25_11.35.37	-48.45412	-1.475461	Oi	3G	-83	4	-23	
2019.09.25_11.35.37	-48.45413	-1.475436	Oi	3G	-83	2	-17	
2019.09.25_11.35.38	-48.45413	-1.475436	Oi	3G	-113	2	-17	
2019.09.25_11.35.39	-48.45413	-1.475436	Oi	3G	-113	2	-17	
2019.09.25_11.35.40	-48.45413	-1.475436	Oi	3G	-85	2	-17	
2019.09.25_11.35.41	-48.45414	-1.475410	Oi	3G	-85	1	-14	
2019.09.25_11.35.41	-48.45414	-1.475410	Oi	3G	-85	1	-14	
2019.09.25_11.35.42	-48.45414	-1.475410	Oi	3G	-113	1	-14	
2019.09.25_11.35.44	-48.45414	-1.475410	Oi	3G	-113	1	-14	
2019.09.25_11.35.44	-48.45416	-1.475383	Oi	3G	-113	2	-20	
2019.09.25_11.35.45	-48.45416	-1.475383	Oi	3G	-81	2	-20	
2019.09.25_11.35.46	-48.45416	-1.475383	Oi	3G	-81	2	-20	
2019.09.25_11.35.47	-48.45418	-1.475352	Oi	3G	-81	3	-14	
2019.09.25_11.35.47	-48.45418	-1.475352	Oi	3G	-85	3	-14	
2019.09.25_11.35.48	-48.45418	-1.475352	Oi	3G	-85	3	-14	
2019.09.25_11.35.49	-48.45418	-1.475352	Oi	3G	-85	3	-14	
