Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.25_09.50.27	-48.45163	-1.472851	Oi	3G	-65	0	-15	
2019.09.25_09.50.28	-48.45163	-1.472855	Oi	3G	-65	0	-16	
2019.09.25_09.50.28	-48.45163	-1.472855	Oi	3G	-65	0	-16	
2019.09.25_09.50.29	-48.45163	-1.472855	Oi	3G	-69	0	-16	
2019.09.25_09.50.30	-48.45163	-1.472855	Oi	3G	-69	0	-16	
2019.09.25_09.50.31	-48.45163	-1.472855	Oi	3G	-69	0	-16	
2019.09.25_09.50.33	-48.45163	-1.472855	Oi	3G	-69	0	-16	
2019.09.25_09.50.33	-48.45167	-1.472849	Oi	3G	-69	4	-17	
2019.09.25_09.50.34	-48.45167	-1.472849	Oi	3G	-69	4	-17	
2019.09.25_09.50.35	-48.45167	-1.472849	Oi	3G	-69	4	-17	
2019.09.25_09.50.36	-48.45170	-1.472855	Oi	3G	-69	5	-12	
2019.09.25_09.50.36	-48.45170	-1.472855	Oi	3G	-75	5	-12	
2019.09.25_09.50.37	-48.45170	-1.472855	Oi	3G	-75	5	-12	
2019.09.25_09.50.38	-48.45173	-1.472869	Oi	3G	-75	4	-15	
2019.09.25_09.50.38	-48.45173	-1.472869	Oi	3G	-77	4	-15	
2019.09.25_09.50.40	-48.45173	-1.472869	Oi	3G	-77	4	-15	
2019.09.25_09.50.41	-48.45173	-1.472869	Oi	3G	-73	4	-15	
2019.09.25_09.50.42	-48.45176	-1.472879	Oi	3G	-73	3	-14	
2019.09.25_09.50.42	-48.45176	-1.472879	Oi	3G	-73	3	-14	
2019.09.25_09.50.43	-48.45176	-1.472879	Oi	3G	-71	3	-14	
2019.09.25_09.50.44	-48.45176	-1.472879	Oi	3G	-71	3	-14	
2019.09.25_09.50.45	-48.45179	-1.472883	Oi	3G	-71	4	-12	
2019.09.25_09.50.46	-48.45179	-1.472883	Oi	3G	-71	4	-12	
2019.09.25_09.50.47	-48.45179	-1.472883	Oi	3G	-71	4	-12	
2019.09.25_09.50.48	-48.45182	-1.472898	Oi	3G	-71	3	-14	
2019.09.25_09.50.48	-48.45182	-1.472898	Oi	3G	-75	3	-14	
2019.09.25_09.50.49	-48.45182	-1.472898	Oi	3G	-75	3	-14	
2019.09.25_09.50.50	-48.45182	-1.472898	Oi	3G	-77	3	-14	
2019.09.25_09.50.51	-48.45182	-1.472898	Oi	3G	-77	3	-14	
2019.09.25_09.50.52	-48.45185	-1.472911	Oi	3G	-77	3	-15	
2019.09.25_09.50.53	-48.45185	-1.472911	Oi	3G	-73	3	-15	
2019.09.25_09.50.54	-48.45188	-1.472917	Oi	3G	-73	4	-15	
2019.09.25_09.50.54	-48.45188	-1.472917	Oi	3G	-73	4	-15	
2019.09.25_09.50.55	-48.45188	-1.472917	Oi	3G	-69	4	-15	
2019.09.25_09.50.56	-48.45190	-1.472931	Oi	3G	-69	4	-13	
2019.09.25_09.50.56	-48.45190	-1.472931	Oi	3G	-69	4	-13	
2019.09.25_09.50.57	-48.45190	-1.472931	Oi	3G	-69	4	-13	
2019.09.25_09.50.58	-48.45192	-1.472951	Oi	3G	-69	4	-14	
2019.09.25_09.50.59	-48.45192	-1.472951	Oi	3G	-69	4	-14	
2019.09.25_09.51.00	-48.45195	-1.472970	Oi	3G	-69	5	-11	
2019.09.25_09.51.00	-48.45195	-1.472970	Oi	3G	-69	5	-11	
2019.09.25_09.51.01	-48.45195	-1.472970	Oi	3G	-69	5	-11	
2019.09.25_09.51.02	-48.45197	-1.472987	Oi	3G	-69	5	-12	
2019.09.25_09.51.02	-48.45197	-1.472987	Oi	3G	-69	5	-12	
2019.09.25_09.51.03	-48.45197	-1.472987	Oi	3G	-69	5	-12	
2019.09.25_09.51.04	-48.45200	-1.473000	Oi	3G	-69	4	-13	
2019.09.25_09.51.05	-48.45200	-1.473000	Oi	3G	-71	4	-13	
2019.09.25_09.51.06	-48.45203	-1.473006	Oi	3G	-71	4	-10	
2019.09.25_09.51.06	-48.45203	-1.473006	Oi	3G	-71	4	-10	
2019.09.25_09.51.07	-48.45203	-1.473006	Oi	3G	-71	4	-10	
2019.09.25_09.51.08	-48.45206	-1.473016	Oi	3G	-71	5	-11	
2019.09.25_09.51.08	-48.45206	-1.473016	Oi	3G	-71	5	-11	
2019.09.25_09.51.09	-48.45206	-1.473016	Oi	3G	-77	5	-11	
