Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.24_11.04.12	-48.45167	-1.472846	Oi	4G	-84	0	-17	
2019.09.24_11.04.13	-48.45166	-1.472848	Oi	4G	-84	0	-19	
2019.09.24_11.04.13	-48.45166	-1.472848	Oi	4G	-82	0	-19	
2019.09.24_11.04.14	-48.45166	-1.472848	Oi	4G	-82	0	-19	
2019.09.24_11.04.15	-48.45166	-1.472848	Oi	4G	-81	0	-19	
2019.09.24_11.04.17	-48.45166	-1.472848	Oi	4G	-81	0	-19	
2019.09.24_11.04.18	-48.45166	-1.472848	Oi	4G	-74	0	-19	
2019.09.24_11.04.19	-48.45166	-1.472848	Oi	4G	-74	0	-19	
2019.09.24_11.04.20	-48.45169	-1.472858	Oi	4G	-74	3	-18	
2019.09.24_11.04.20	-48.45169	-1.472858	Oi	4G	-79	3	-18	
2019.09.24_11.04.21	-48.45169	-1.472858	Oi	4G	-79	3	-18	
2019.09.24_11.04.22	-48.45169	-1.472858	Oi	4G	-76	3	-18	
2019.09.24_11.04.23	-48.45172	-1.472870	Oi	4G	-76	2	-20	
2019.09.24_11.04.24	-48.45172	-1.472870	Oi	4G	-76	2	-20	
2019.09.24_11.04.25	-48.45172	-1.472870	Oi	4G	-77	2	-20	
2019.09.24_11.04.26	-48.45172	-1.472870	Oi	4G	-77	2	-20	
2019.09.24_11.04.27	-48.45175	-1.472884	Oi	4G	-77	3	-19	
2019.09.24_11.04.27	-48.45175	-1.472884	Oi	4G	-79	3	-19	
2019.09.24_11.04.28	-48.45175	-1.472884	Oi	4G	-79	3	-19	
2019.09.24_11.04.30	-48.45175	-1.472884	Oi	4G	-79	3	-19	
2019.09.24_11.04.30	-48.45178	-1.472897	Oi	4G	-79	3	-19	
2019.09.24_11.04.31	-48.45178	-1.472897	Oi	4G	-79	3	-19	
2019.09.24_11.04.32	-48.45178	-1.472897	Oi	4G	-80	3	-19	
2019.09.24_11.04.33	-48.45178	-1.472897	Oi	4G	-80	3	-19	
2019.09.24_11.04.34	-48.45181	-1.472914	Oi	4G	-80	3	-18	
2019.09.24_11.04.34	-48.45181	-1.472914	Oi	4G	-84	3	-18	
2019.09.24_11.04.35	-48.45181	-1.472914	Oi	4G	-84	3	-18	
2019.09.24_11.04.37	-48.45181	-1.472914	Oi	4G	-84	3	-18	
2019.09.24_11.04.37	-48.45184	-1.472932	Oi	4G	-84	2	-16	
2019.09.24_11.04.38	-48.45184	-1.472932	Oi	4G	-84	2	-16	
2019.09.24_11.04.39	-48.45184	-1.472932	Oi	4G	-85	2	-16	
2019.09.24_11.04.40	-48.45187	-1.472956	Oi	4G	-85	4	-18	
2019.09.24_11.04.40	-48.45187	-1.472956	Oi	4G	-85	4	-18	
2019.09.24_11.04.41	-48.45187	-1.472956	Oi	4G	-77	4	-18	
