Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.24_11.26.01	-48.45244	-1.473170	Oi	4G	-88	0	-20	
2019.09.24_11.26.02	-48.45242	-1.473150	Oi	4G	-88	0	-21	
2019.09.24_11.26.02	-48.45242	-1.473150	Oi	4G	-86	0	-21	
2019.09.24_11.26.03	-48.45242	-1.473150	Oi	4G	-86	0	-21	
2019.09.24_11.26.04	-48.45242	-1.473150	Oi	4G	-82	0	-21	
2019.09.24_11.26.05	-48.45242	-1.473150	Oi	4G	-82	0	-21	
2019.09.24_11.26.07	-48.45242	-1.473150	Oi	4G	-84	0	-21	
2019.09.24_11.26.07	-48.45245	-1.473145	Oi	4G	-84	1	-18	
2019.09.24_11.26.08	-48.45245	-1.473145	Oi	4G	-84	1	-18	
2019.09.24_11.26.09	-48.45245	-1.473145	Oi	4G	-83	1	-18	
2019.09.24_11.26.10	-48.45245	-1.473145	Oi	4G	-83	1	-18	
2019.09.24_11.26.11	-48.45247	-1.473152	Oi	4G	-83	1	-15	
2019.09.24_11.26.11	-48.45247	-1.473152	Oi	4G	-89	1	-15	
2019.09.24_11.26.12	-48.45247	-1.473152	Oi	4G	-89	1	-15	
2019.09.24_11.26.13	-48.45247	-1.473152	Oi	4G	-88	1	-15	
2019.09.24_11.26.15	-48.45247	-1.473152	Oi	4G	-88	1	-15	
2019.09.24_11.26.15	-48.45250	-1.473155	Oi	4G	-88	3	-22	
2019.09.24_11.26.16	-48.45250	-1.473155	Oi	4G	-91	3	-22	
2019.09.24_11.26.17	-48.45250	-1.473155	Oi	4G	-91	3	-22	
2019.09.24_11.26.18	-48.45250	-1.473155	Oi	4G	-86	3	-22	
2019.09.24_11.26.19	-48.45253	-1.473154	Oi	4G	-86	1	-18	
2019.09.24_11.26.19	-48.45253	-1.473154	Oi	4G	-86	1	-18	
2019.09.24_11.26.20	-48.45253	-1.473154	Oi	4G	-86	1	-18	
2019.09.24_11.26.22	-48.45253	-1.473154	Oi	4G	-86	1	-18	
2019.09.24_11.26.23	-48.45253	-1.473154	Oi	4G	-87	1	-18	
2019.09.24_11.26.23	-48.45257	-1.473157	Oi	4G	-87	4	-15	
2019.09.24_11.26.24	-48.45257	-1.473157	Oi	4G	-87	4	-15	
2019.09.24_11.26.25	-48.45257	-1.473157	Oi	4G	-88	4	-15	
2019.09.24_11.26.26	-48.45257	-1.473157	Oi	4G	-88	4	-15	
2019.09.24_11.26.27	-48.45260	-1.473166	Oi	4G	-88	4	-18	
2019.09.24_11.26.27	-48.45260	-1.473166	Oi	4G	-87	4	-18	
2019.09.24_11.26.28	-48.45260	-1.473166	Oi	4G	-87	4	-18	
2019.09.24_11.26.29	-48.45263	-1.473173	Oi	4G	-87	4	-14	
2019.09.24_11.26.30	-48.45263	-1.473173	Oi	4G	-80	4	-14	
2019.09.24_11.26.31	-48.45263	-1.473173	Oi	4G	-80	4	-14	
2019.09.24_11.26.32	-48.45265	-1.473183	Oi	4G	-80	2	-18	
2019.09.24_11.26.32	-48.45265	-1.473183	Oi	4G	-83	2	-18	
2019.09.24_11.26.33	-48.45265	-1.473183	Oi	4G	-83	2	-18	
2019.09.24_11.26.34	-48.45265	-1.473183	Oi	4G	-82	2	-18	
2019.09.24_11.26.35	-48.45265	-1.473183	Oi	4G	-82	2	-18	
2019.09.24_11.26.36	-48.45265	-1.473183	Oi	4G	-84	2	-18	
2019.09.24_11.26.38	-48.45265	-1.473183	Oi	4G	-84	2	-18	
2019.09.24_11.26.39	-48.45265	-1.473183	Oi	4G	-88	2	-18	
2019.09.24_11.26.39	-48.45269	-1.473193	Oi	4G	-88	3	-19	
2019.09.24_11.26.40	-48.45269	-1.473193	Oi	4G	-88	3	-19	
2019.09.24_11.26.41	-48.45269	-1.473193	Oi	4G	-86	3	-19	
2019.09.24_11.26.42	-48.45269	-1.473193	Oi	4G	-86	3	-19	
2019.09.24_11.26.43	-48.45269	-1.473193	Oi	4G	-86	3	-19	
2019.09.24_11.26.44	-48.45269	-1.473193	Oi	4G	-86	3	-19	
2019.09.24_11.26.45	-48.45273	-1.473188	Oi	4G	-86	4	-16	
2019.09.24_11.26.46	-48.45273	-1.473188	Oi	4G	-87	4	-16	
2019.09.24_11.26.47	-48.45273	-1.473188	Oi	4G	-87	4	-16	
2019.09.24_11.26.47	-48.45276	-1.473192	Oi	4G	-87	4	-12	
2019.09.24_11.26.48	-48.45276	-1.473192	Oi	4G	-88	4	-12	
2019.09.24_11.26.49	-48.45278	-1.473202	Oi	4G	-88	2	-15	
