Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2019.09.25_09.57.50	-48.45394	-1.475838	Oi	3G	-89	0	-17	
2019.09.25_09.57.50	-48.45394	-1.475842	Oi	3G	-89	0	-18	
2019.09.25_09.57.50	-48.45394	-1.475842	Oi	3G	-89	0	-18	
2019.09.25_09.57.52	-48.45394	-1.475842	Oi	3G	-81	0	-18	
2019.09.25_09.57.53	-48.45394	-1.475842	Oi	3G	-81	0	-18	
2019.09.25_09.57.54	-48.45394	-1.475842	Oi	3G	-81	0	-18	
2019.09.25_09.57.55	-48.45391	-1.475810	Oi	3G	-81	5	-19	
2019.09.25_09.57.55	-48.45391	-1.475810	Oi	3G	-81	5	-19	
2019.09.25_09.57.56	-48.45391	-1.475810	Oi	3G	-87	5	-19	
2019.09.25_09.57.57	-48.45390	-1.475783	Oi	3G	-87	6	-15	
2019.09.25_09.57.57	-48.45390	-1.475783	Oi	3G	-87	6	-15	
2019.09.25_09.57.58	-48.45390	-1.475783	Oi	3G	-93	6	-15	
2019.09.25_09.58.00	-48.45390	-1.475783	Oi	3G	-93	6	-15	
2019.09.25_09.58.00	-48.45388	-1.475747	Oi	3G	-93	6	-17	
2019.09.25_09.58.01	-48.45388	-1.475747	Oi	3G	-81	6	-17	
2019.09.25_09.58.02	-48.45388	-1.475747	Oi	3G	-81	6	-17	
2019.09.25_09.58.03	-48.45389	-1.475714	Oi	3G	-81	4	-17	
2019.09.25_09.58.03	-48.45389	-1.475714	Oi	3G	-83	4	-17	
2019.09.25_09.58.04	-48.45389	-1.475714	Oi	3G	-83	4	-17	
2019.09.25_09.58.05	-48.45389	-1.475684	Oi	3G	-83	3	-14	
2019.09.25_09.58.05	-48.45389	-1.475684	Oi	3G	-83	3	-14	
2019.09.25_09.58.07	-48.45389	-1.475684	Oi	3G	-83	3	-14	
2019.09.25_09.58.07	-48.45391	-1.475653	Oi	3G	-83	5	-16	
2019.09.25_09.58.08	-48.45391	-1.475653	Oi	3G	-89	5	-16	
2019.09.25_09.58.09	-48.45393	-1.475626	Oi	3G	-89	4	-16	
2019.09.25_09.58.09	-48.45393	-1.475626	Oi	3G	-89	4	-16	
2019.09.25_09.58.10	-48.45393	-1.475626	Oi	3G	-95	4	-16	
2019.09.25_09.58.11	-48.45395	-1.475603	Oi	3G	-95	3	-17	
2019.09.25_09.58.11	-48.45395	-1.475603	Oi	3G	-95	3	-17	
2019.09.25_09.58.12	-48.45395	-1.475603	Oi	3G	-89	3	-17	
2019.09.25_09.58.14	-48.45395	-1.475603	Oi	3G	-89	3	-17	
2019.09.25_09.58.14	-48.45398	-1.475576	Oi	3G	-89	3	-16	
2019.09.25_09.58.15	-48.45398	-1.475576	Oi	3G	-79	3	-16	
2019.09.25_09.58.16	-48.45400	-1.475561	Oi	3G	-79	3	-15	
2019.09.25_09.58.16	-48.45400	-1.475561	Oi	3G	-79	3	-15	
2019.09.25_09.58.17	-48.45400	-1.475561	Oi	3G	-79	3	-15	
2019.09.25_09.58.18	-48.45403	-1.475547	Oi	3G	-79	4	-15	
2019.09.25_09.58.18	-48.45403	-1.475547	Oi	3G	-79	4	-15	
2019.09.25_09.58.19	-48.45403	-1.475547	Oi	3G	-81	4	-15	
2019.09.25_09.58.20	-48.45405	-1.475532	Oi	3G	-81	3	-15	
2019.09.25_09.58.20	-48.45405	-1.475532	Oi	3G	-81	3	-15	
2019.09.25_09.58.22	-48.45405	-1.475532	Oi	3G	-113	3	-15	
2019.09.25_09.58.23	-48.45409	-1.475516	Oi	3G	-113	4	-16	
2019.09.25_09.58.23	-48.45409	-1.475516	Oi	3G	-113	4	-16	
2019.09.25_09.58.24	-48.45409	-1.475516	Oi	3G	-85	4	-16	
2019.09.25_09.58.25	-48.45409	-1.475516	Oi	3G	-85	4	-16	
2019.09.25_09.58.26	-48.45412	-1.475497	Oi	3G	-85	3	-15	
2019.09.25_09.58.26	-48.45412	-1.475497	Oi	3G	-83	3	-15	
2019.09.25_09.58.27	-48.45412	-1.475497	Oi	3G	-83	3	-15	
2019.09.25_09.58.29	-48.45412	-1.475497	Oi	3G	-81	3	-15	
2019.09.25_09.58.29	-48.45414	-1.475472	Oi	3G	-81	3	-17	
2019.09.25_09.58.30	-48.45414	-1.475472	Oi	3G	-81	3	-17	
2019.09.25_09.58.31	-48.45414	-1.475472	Oi	3G	-81	3	-17	
2019.09.25_09.58.32	-48.45414	-1.475440	Oi	3G	-81	3	-15	
2019.09.25_09.58.32	-48.45414	-1.475440	Oi	3G	-81	3	-15	
2019.09.25_09.58.33	-48.45414	-1.475440	Oi	3G	-85	3	-15	
2019.09.25_09.58.34	-48.45414	-1.475440	Oi	3G	-85	3	-15	
2019.09.25_09.58.35	-48.45415	-1.475407	Oi	3G	-85	4	-16	
2019.09.25_09.58.36	-48.45415	-1.475407	Oi	3G	-85	4	-16	
2019.09.25_09.58.37	-48.45415	-1.475407	Oi	3G	-85	4	-16	
2019.09.25_09.58.38	-48.45416	-1.475377	Oi	3G	-85	3	-15	
